Price,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,
2021-05-24,657.6466064453125,664.7375322132713,656.3616408374486,657.694184854501,3722957
2021-05-25,662.5484619140625,663.7858493321016,657.6943014503763,661.5015043531281,2800233
2021-05-26,669.8772583007812,672.1140245922688,662.6435968956062,665.7845272927665,6235460
2021-05-27,665.7845458984375,675.5405024323317,661.0255427111721,673.161000838699,9875654
2021-05-28,637.4683837890625,661.0254461239326,634.1846604509979,660.5495458747433,28316552
2021-05-31,636.0881958007812,643.1315419991968,627.2364636980548,639.609868899989,13947126
2021-06-01,638.7057495117188,640.847300756102,632.2810957785691,637.8015273676534,6443084
2021-06-02,644.79736328125,645.4159988490358,637.8492301406854,638.6582374575212,4978457
2021-06-03,642.9412231445312,648.0333324665387,641.0376221877747,645.320724340477,3604574
2021-06-04,641.4660034179688,646.5105348018117,640.371409529164,646.1774278408518,3747803
2021-06-07,642.7984619140625,645.1303848211212,638.5629960485426,641.4659760338103,2793705
2021-06-08,646.0346069335938,647.1767791832954,633.0425065181641,640.561753909847,5695920
2021-06-09,640.4189453125,651.697816130897,635.4219926709209,648.2237210570536,4492551
2021-06-10,643.4647216796875,648.1761458119572,640.5617417495554,640.6093201562868,3099864
2021-06-11,648.4617919921875,653.2683738099495,641.5612370587094,642.6558310785823,3822099
2021-06-14,644.4641723632812,650.7460912703078,639.1816905753788,649.1280186081965,3640962
2021-06-15,640.7521362304688,648.5569122903293,639.3720138264754,644.4641234867706,3862284
2021-06-16,636.3262329101562,647.700260865842,634.7081603899957,642.4653579492186,4842448
2021-06-17,632.9949340820312,641.0852386282396,629.7588471195246,639.4195876922555,2776147
2021-06-18,636.2786254882812,640.5617276793018,621.2401894140228,634.850924757941,4158743
2021-06-21,638.9913330078125,642.2750568169034,630.0920203087478,630.0920203087478,2932177
2021-06-22,634.6605834960938,647.4623122777601,633.7563613714976,645.3207610794875,4577152
2021-06-23,633.1853637695312,639.943124948241,632.2335631475553,634.6606431149341,2631031
